userid,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
503,803,0,0,0,0,0,0,4,3436,493,309,532,249,3859,390,488,16124,151,406,293,6120,1272,11406,1274
505,2,0,0,0,0,0,0,1,189,345,357,309,44,83,157,245,242,201,225,63,110,171,138,0
510,170,182,203,176,174,148,181,154,232,420,400,249,213,204,209,326,362,293,276,295,367,266,237,195
513,6,5,5,6,17,1,0,0,1,3,7,2,9,1,2,0,10,14,12,12,3,4,8,2
530,0,0,0,0,0,0,0,0,0,16,0,0,0,0,7,17,20,0,10,13,11,64,33,14
538,162,173,110,111,131,130,155,188,158,304,403,368,400,302,361,355,382,315,228,242,277,250,402,296
553,13,3,10,0,2,1,1,2,0,5,19,19,30,34,33,23,49,43,15,34,30,46,27,22
554,62,0,0,0,0,0,0,5,87,153,144,175,41,15,81,181,170,137,205,20,53,57,50,64
570,18,2,3,3,0,1,8,23,30,81,84,46,26,32,27,58,43,46,33,29,26,31,43,57
583,44,32,0,0,0,0,0,4,10,65,141,99,66,49,50,75,98,119,79,60,70,98,132,66
596,34,21,3,1,0,0,0,0,12,80,75,148,71,68,67,107,148,99,63,53,65,66,37,21
601,0,0,0,0,0,0,0,0,28,49,125,96,20,45,63,50,35,64,56,60,57,18,28,34
603,201,28,9,1,0,0,0,287,94,376,469,492,564,213,390,462,448,305,114,530,404,346,338,559
605,5,7,2,0,0,0,0,0,0,3,2,6,0,0,0,2,14,8,9,67,4,1,4,1
607,0,0,0,0,0,0,0,0,4,18,39,114,93,50,67,98,56,75,23,2,51,3,2,0
609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0
611,15,2,9,3,0,0,0,15,13,67,38,32,16,11,40,51,33,25,8,46,21,25,26,4
612,0,0,0,0,0,0,0,4,475,807,435,546,70,54,363,337,494,116,422,222,456,304,139,1314
613,19,7,2,20,11,15,18,12,78,126,113,81,10,17,61,57,60,84,49,54,66,21,53,25
614,6,1,0,0,3,0,3,35,170,221,298,139,81,63,118,198,165,147,99,93,106,98,152,63
615,0,0,0,0,0,0,0,0,6,107,129,68,41,50,76,51,77,63,28,15,90,74,73,0
616,0,0,0,0,0,0,0,0,13,98,94,42,31,23,53,55,53,35,6,9,18,18,23,10
617,0,0,0,0,0,0,0,0,2,1,2,1,1,0,2,0,7,9,1,0,1,1,9,0
618,148,32,22,7,3,2,11,138,425,903,917,982,449,127,252,678,699,626,297,552,442,786,1014,400
619,1611,1401,634,658,188,45,36,34,159,1151,1211,1230,409,608,960,1132,1361,1148,968,899,941,1522,2048,1610
620,3,8,3,1,0,0,6,11,9,33,59,60,27,49,17,61,51,41,8,19,22,58,39,39
621,0,0,0,0,0,0,0,0,0,15,31,13,14,4,21,37,14,4,0,0,2,1,0,0
622,0,1,0,0,0,0,0,0,0,4,6,15,3,1,1,7,9,6,2,1,8,9,10,12
623,595,575,337,66,39,7,13,74,145,325,456,202,164,171,276,332,314,298,215,300,390,280,265,263
624,15,1,0,0,0,0,0,16,16,32,36,7,2,4,45,43,39,33,6,12,33,32,26,17
625,34,2,0,1,0,0,8,0,14,42,92,76,44,128,56,58,101,77,76,44,28,98,108,124
626,145,74,16,8,15,11,17,67,130,237,228,245,206,224,123,214,254,176,219,191,265,265,212,225
627,5,2,2,0,0,0,2,39,76,150,147,100,25,26,55,82,70,54,37,59,76,121,49,19
628,199,170,153,146,51,47,21,25,37,74,48,45,17,69,110,81,68,69,58,105,121,174,192,141
629,29,22,0,7,4,4,25,36,128,343,184,138,68,52,182,159,134,130,137,99,148,217,103,52
630,36,16,6,5,6,0,0,1,97,135,131,187,157,19,111,124,115,135,220,112,38,59,30,45
631,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,3,0,0,0,0,0
632,28,22,21,12,16,41,31,43,150,126,159,110,26,16,88,84,90,42,55,49,65,61,51,17
633,0,0,0,0,0,0,0,0,0,1,1,7,6,9,0,0,0,0,8,0,0,0,0,0
634,19,11,20,11,5,5,8,3,13,18,16,5,1,11,9,20,22,1,1,2,4,7,14,26
635,144,121,0,0,0,14,7,10,185,251,292,254,127,139,192,269,160,322,113,61,178,310,354,231
637,155,22,12,0,3,0,0,47,212,592,1070,572,807,855,881,845,835,373,597,1282,1009,714,801,333
638,6,0,0,0,0,0,0,0,0,10,7,2,16,9,17,9,9,1,8,5,8,2,3,12
639,94,4,0,0,0,0,4,23,102,260,229,257,171,341,387,210,400,75,169,193,320,499,508,291
640,189,18,1,0,0,0,0,3,16,265,1218,433,291,180,597,562,596,158,76,477,513,186,453,147
641,214,77,2,0,0,0,0,31,54,248,474,343,253,372,334,375,442,187,81,346,514,458,400,196
643,0,0,0,0,0,0,0,0,0,29,140,98,21,0,6,38,35,39,3,18,58,60,172,21
644,0,0,0,0,0,0,0,0,0,62,82,71,5,15,78,145,72,75,47,35,80,58,53,17
645,20,2,0,0,0,0,0,0,13,53,86,70,42,22,34,74,44,30,16,26,29,51,83,66
646,130,54,49,44,30,32,55,39,58,89,236,282,363,364,296,405,209,200,134,98,135,136,134,343
647,24,0,0,0,0,0,1,3,35,442,199,121,17,59,190,192,327,118,68,48,85,95,132,44
648,14,3,0,0,0,12,25,61,346,533,508,141,11,60,208,357,267,139,47,63,155,195,243,70
649,16,5,13,36,0,25,5,22,23,146,56,33,31,19,43,73,69,27,36,29,28,25,24,33
650,0,0,0,0,0,0,0,0,20,64,71,42,25,40,32,47,40,56,19,47,59,56,55,18
651,17,24,11,6,4,0,1,7,20,120,113,58,37,46,64,128,90,70,37,75,77,99,83,46
652,39,16,1,0,0,0,4,11,117,617,331,156,71,301,343,317,279,280,109,100,173,267,229,141
653,784,372,150,14,12,15,11,8,38,148,522,486,1338,118,1185,1288,227,190,350,276,166,250,183,193
655,7,0,0,0,0,0,0,0,27,68,97,64,31,24,27,38,55,39,20,26,31,44,35,25
656,16,20,0,0,0,0,0,0,4,22,57,7,3,1,2,3,21,28,5,7,18,17,14,23
657,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,11,2,3,0,0,0,1,0
658,0,0,0,0,0,0,0,0,0,47,41,9,0,0,20,42,9,11,18,6,6,9,30,0
659,0,0,0,0,0,0,0,0,22,101,160,37,24,38,24,68,104,26,35,31,42,93,55,17
660,11,3,5,6,5,0,0,1,4,4,8,7,4,2,8,8,7,6,9,6,9,11,7,30
661,0,0,0,0,0,0,0,0,0,0,2,29,1,10,0,0,0,0,0,0,0,0,27,0
662,0,4,0,0,0,0,0,24,81,98,74,18,10,26,28,22,8,3,20,40,29,38,13,4
663,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,0,1,0,0
664,0,0,0,0,0,0,0,0,6,0,3,0,0,2,14,7,0,1,0,0,0,0,0,0
667,0,0,0,0,0,0,0,0,1,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0
688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
709,0,0,0,0,0,0,0,0,0,0,3,11,3,0,0,0,1,2,0,0,0,0,0,0
727,0,2,0,0,0,0,0,1,5,461,138,401,311,525,909,1164,192,1339,16,1,189,23,956,653
741,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
748,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
754,0,0,0,0,0,0,0,0,0,11,14,8,2,11,14,10,8,5,0,0,0,0,0,0
757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,0
759,0,0,0,0,0,0,0,0,0,1,0,5,0,1,14,0,4,0,0,0,0,0,0,0
760,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
763,0,0,0,0,0,0,0,0,0,0,1,10,3,0,0,8,2,0,0,0,0,0,0,0
795,0,0,0,0,0,0,0,1,2,12,20,0,14,2,0,1,0,0,11,0,0,2,0,0
864,1,0,0,0,0,0,0,0,12,148,54,23,0,1,5,16,19,9,4,0,0,0,0,0
865,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0
866,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,3,1,28,0
867,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
868,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
895,0,0,0,0,0,0,0,0,3,5,7,0,0,8,4,2,16,16,10,9,24,14,14,0
934,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0
962,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
967,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,7,4,0,0,0,0,0
969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
973,0,0,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0
983,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,0,0,1,10,0
993,7,14,0,0,0,0,0,0,1,3,6,8,9,17,29,9,20,2,12,12,18,16,8,11
1001,0,1,1,1,0,0,0,6,3,18,14,17,6,24,27,12,8,22,4,2,9,9,19,22
1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1053,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063,0,0,0,0,0,0,0,0,0,2,4,4,0,0,0,0,2,0,0,2,0,0,1,0
1165,1,4,16,1,0,0,0,0,2,4,3,24,1,9,22,15,13,4,29,10,7,21,43,42
1166,18,10,5,4,1,18,8,0,4,0,12,1,16,24,26,19,23,9,28,6,9,13,24,5
1167,3510,48,4220,2620,2000,0,0,0,32,42,41,25,31,0,4013,66,2065,3468,4845,845,4449,248,2128,2772
1168,27,2,0,2,0,0,1,24,136,147,110,66,69,73,111,98,81,69,63,75,60,43,73,84
1169,78,18,10,0,3,0,0,27,667,1998,1477,688,356,466,1326,1424,1411,1071,876,843,761,688,473,171
1170,34,19,8,8,4,0,0,2,37,157,105,74,29,85,80,85,88,33,47,52,54,68,47,46
1171,1,0,0,0,0,2,0,10,22,48,76,70,34,51,54,69,64,87,59,63,86,76,51,54
1173,144,164,138,134,133,116,101,218,85,268,359,199,146,119,179,650,268,63,47,30,41,94,114,154
1174,0,0,0,0,0,0,0,0,0,27,81,89,18,10,37,61,66,78,7,40,75,37,32,26
1175,17,17,10,7,8,17,13,9,34,17,47,30,50,81,82,67,120,64,62,48,108,83,179,62
1176,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,1,0,0,1,0,1
1177,3,0,0,0,0,0,0,6,1,3,10,61,34,41,18,14,38,2,0,26,99,27,26,7
1178,726,838,906,936,1052,899,950,779,714,1016,1005,812,631,761,1635,1345,1036,861,1063,845,745,878,1077,736
1179,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3
1181,1324,1126,1047,842,775,828,1008,1147,1114,1071,1034,883,921,911,2025,1601,1205,803,783,703,817,915,957,926
1182,0,0,0,0,0,0,0,0,154,243,180,96,14,16,64,178,103,55,38,38,54,105,38,7
1183,0,0,0,0,0,0,0,0,165,311,102,123,13,10,79,182,124,110,30,32,55,111,22,2
1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1185,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,1
1186,134,19,4,5,595,606,578,625,552,288,236,323,468,463,373,390,600,456,325,415,333,533,712,437
1187,67,37,4,0,1,1,4,3,24,111,226,287,196,252,229,219,465,155,150,212,163,181,172,80
1188,24,2,0,0,0,0,2,4,9,40,47,15,37,42,32,33,34,30,7,22,49,28,19,24
1189,0,0,0,0,0,0,0,0,0,6,11,16,1,3,11,19,5,4,1,1,0,2,0,0
1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1192,1,0,0,0,0,0,0,0,32,55,38,47,7,12,21,30,63,11,0,0,2,1,0,0
1193,38,4,1,0,0,0,0,9,64,125,152,97,70,67,78,120,191,133,29,83,86,95,77,70
1195,0,0,0,0,0,0,0,0,3,19,40,21,9,8,11,37,62,20,14,14,14,10,14,5
1196,0,0,0,0,0,0,0,2,32,13,12,13,4,0,10,16,19,14,2,7,17,7,8,0
1198,1086,1210,1441,1441,1452,1762,2469,3043,3226,3010,1372,1108,1101,1092,1086,1093,1092,1086,1074,1072,1069,1075,1086,1077
1199,0,0,0,0,0,0,0,0,17,26,32,27,15,4,19,15,3,1,3,2,12,19,21,33
1200,19,2,0,0,2,2,23,40,44,39,54,52,22,78,47,41,72,46,53,28,26,37,40,47
1201,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,2,0,0
1202,0,0,0,0,0,0,0,4,24,41,52,33,19,6,22,18,9,4,5,3,12,24,16,0
1203,1066,251,1,0,92,65,74,239,3533,6757,8452,5059,1645,2734,6111,3120,6154,8246,267,4812,5749,8285,15180,5461
1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1207,33,0,0,0,0,0,0,0,6,53,99,76,9,0,2,17,61,55,1,12,29,39,50,33
1209,130,37,45,0,0,7,5,14,83,189,444,361,157,210,188,258,358,276,197,211,263,231,246,163
1210,11,2,1,0,0,0,4,1,3,19,66,48,20,17,15,21,22,18,10,11,17,13,8,11
1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0
1212,49,32,25,31,23,16,12,22,25,15,33,69,107,86,102,89,90,85,41,22,15,74,27,46
1213,0,0,0,0,0,0,0,2,15,5,9,3,0,5,1,13,5,3,1,5,2,1,4,7
1214,3,2,0,0,0,0,0,0,0,2,21,12,4,6,10,7,3,2,12,23,20,7,17,0
1215,26,0,0,0,0,0,0,3,9,46,110,130,59,45,60,124,145,95,50,92,85,102,53,52
1216,5,0,0,0,0,0,0,0,51,129,109,71,61,36,40,110,129,116,30,2,9,64,114,64
1217,0,0,0,0,0,0,0,16,8,22,31,37,46,58,34,16,52,12,8,29,28,32,10,0
1218,59,29,5,5,1,2,8,9,68,299,394,434,283,84,54,271,412,370,255,210,194,293,387,168
1219,17,0,4,0,0,0,0,3,17,268,366,269,15,25,131,323,243,111,31,117,192,179,191,47
1220,0,1,0,0,0,0,0,0,8,42,187,93,0,7,17,152,156,48,6,35,53,105,21,17
1221,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1223,713,526,345,365,364,379,343,444,646,712,716,988,1013,884,874,963,860,879,893,871,910,729,713,672
1224,177,33,0,0,0,0,53,5,209,285,484,297,265,426,272,290,289,323,160,168,354,483,728,422
1225,20,13,92,0,0,0,0,0,23,22,47,52,23,48,57,38,83,53,65,132,29,80,120,22
1227,0,0,0,0,0,0,0,0,1,1,0,3,9,3,17,5,4,9,11,0,0,0,0,0
1228,3483,4003,3808,3961,4328,3800,3955,4284,4186,5562,5841,5044,3812,5021,5243,4748,5178,4599,4999,2968,6053,4962,4759,5159
1229,0,1,0,11,0,0,0,0,0,28,15,0,0,6,14,17,2,0,0,1,5,12,0,6
1232,0,0,0,0,0,0,0,0,0,3,1,0,3,0,2,0,2,0,3,0,3,7,1,8
1233,3,4,2,0,0,0,0,0,0,10,35,13,31,1,33,15,4,0,10,10,19,8,4,21
1235,65,93,10,5,0,5,25,46,30,72,39,42,20,49,27,97,36,25,75,28,71,51,33,43
1236,0,0,0,0,0,0,0,18,46,81,59,35,10,7,30,25,50,34,17,59,30,36,42,23
1237,12,0,0,0,0,0,0,1,18,74,62,67,37,41,44,92,67,113,53,41,38,55,67,26
1238,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0
1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1240,2,1,1,7,0,2,3,0,0,5,8,4,10,12,0,0,2,0,0,0,0,0,10,6
1241,18,0,0,0,0,0,0,0,22,30,29,14,21,44,71,15,9,7,0,1,5,15,23,40
1242,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,3,0,0,0,0,3,0,0,0
1246,0,0,0,0,0,0,0,0,0,0,3,6,1,1,2,3,5,1,1,2,1,1,1,0
1247,1,0,0,0,0,0,0,0,21,48,19,8,10,4,14,23,19,28,4,11,12,17,8,2
1248,297,171,33,23,6,16,30,37,76,79,180,198,249,243,219,227,197,104,215,153,242,214,220,248
1250,19,5,0,1,0,0,0,0,5,53,57,22,19,13,30,102,56,64,20,23,34,56,67,35
1252,1,0,0,0,0,0,8,14,7,57,7,5,2,3,10,5,8,4,5,12,5,2,2,1
1254,0,0,0,0,0,0,0,0,0,0,5,3,3,3,0,5,1,1,0,0,4,2,5,0
1255,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,6,1,4,1,2,3,3,0,1
1256,0,0,3,0,0,0,0,0,1,3,15,10,6,6,12,2,1,1,3,4,3,3,5,0
1257,0,0,0,0,0,0,0,0,0,2,5,3,1,6,3,2,6,2,3,0,6,2,4,0
1258,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,1,7,0,0
1259,0,0,0,0,0,0,0,0,4,4,5,10,3,0,1,0,17,14,1,13,6,18,9,4
1260,0,0,0,0,0,0,0,0,9,3,5,5,0,0,10,28,17,18,10,2,2,0,13,0
1261,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0,0,0,0,0
1262,75,35,0,1,0,0,0,5,25,169,198,148,113,112,103,97,135,178,83,80,103,128,67,91
1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1264,2,4,0,0,0,3,0,0,0,11,46,32,29,19,35,28,31,22,23,19,34,34,31,6
1265,30,21,0,0,1,5,7,17,29,130,105,123,65,104,107,83,92,148,50,45,30,59,41,43
1266,67,37,5,5,3,0,1,0,12,41,75,125,101,58,83,99,112,119,49,43,54,57,100,85
1267,63,0,0,0,0,0,0,4,0,30,62,95,79,18,32,81,84,66,28,16,67,99,53,54
1268,35,6,1,0,0,0,1,3,22,82,88,72,55,42,90,67,84,56,39,30,55,66,69,66
1269,69,10,0,0,0,0,0,7,16,68,89,55,53,68,59,55,57,63,33,15,63,48,52,63
1270,78,12,10,0,0,1,0,45,157,193,254,151,129,138,185,107,255,158,93,116,161,118,318,156
1271,47,3,0,0,0,0,0,8,8,52,71,45,19,22,69,74,86,47,42,37,76,55,46,31
1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3,5,0
1274,4,0,0,0,0,0,0,0,0,7,23,32,7,1,10,31,22,9,6,10,2,19,54,17
1275,0,0,0,0,4,0,0,0,0,10,15,2,2,1,15,14,4,4,0,2,2,0,1,0
1276,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,5,1,0,0,0,0,0,0
1277,1,0,0,0,0,0,0,0,1,1206,2260,404,204,702,20545,1042,3022,28,252,573,693,1340,437,209
1278,22,7,0,0,0,0,0,0,4,47,149,101,66,83,152,190,158,50,47,132,202,197,137,81
1279,0,0,0,0,0,0,0,0,0,12,9,14,0,0,0,0,0,4,0,0,4,50,6,0
1280,100,51,6,0,0,0,0,0,1,11,41,72,50,46,95,97,77,88,49,65,32,47,50,76
1281,0,0,0,0,0,0,1,6,29,17,0,0,7,0,12,9,17,5,1,8,25,12,20,11
1282,0,0,0,0,0,0,0,0,9,2,3,1,0,0,1,0,5,0,0,0,0,0,0,0
1283,0,0,0,0,0,0,0,0,9,24,16,5,7,6,7,3,6,5,3,8,6,4,14,3
1284,0,4,0,0,0,0,0,0,0,2,13,10,6,6,5,4,2,6,0,2,6,7,5,1
1285,0,0,0,0,0,0,0,2,25,27,11,6,3,6,17,14,7,9,1,9,7,4,4,7
1287,1,0,0,1,0,0,1,0,8,7,3,5,6,9,3,4,1,3,2,10,13,7,8,4
1288,69,25,7,0,0,0,1,6,99,120,254,121,112,122,93,80,132,180,126,132,147,240,175,168
1289,116,35,33,1,0,0,0,9,65,68,103,95,114,84,60,118,121,204,101,83,79,158,149,217
1290,187,172,85,38,18,0,6,10,72,63,79,98,134,144,135,107,73,78,93,96,128,162,197,190
1291,45,26,3,0,0,0,0,14,70,76,88,61,100,78,97,67,97,71,66,76,82,121,160,93
1292,164,112,62,31,15,9,4,1,39,90,115,134,132,179,134,101,108,160,150,119,173,189,251,208
1293,1,0,0,0,0,0,0,1,11,7,13,10,7,3,10,10,15,8,8,6,11,3,5,2
1294,0,0,0,0,0,0,0,2,5,274,242,125,89,21,87,146,112,77,117,41,13,108,221,4
1295,32,0,0,0,0,0,1,0,28,56,55,38,10,28,39,70,30,21,24,31,25,24,33,28
1296,0,0,0,0,0,0,0,0,17,15,24,17,3,3,6,9,17,13,3,0,3,3,3,0
1297,303,415,109,50,27,20,26,24,0,9,17,0,0,29,19,77,233,312,90,12,91,173,647,185
1299,0,0,0,0,0,0,0,0,0,10,23,0,0,0,1,1,39,4,3,35,0,0,0,0
1300,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1301,209,181,8,0,0,0,0,2,0,9,328,120,64,244,734,460,463,88,150,224,137,243,324,216
1305,0,0,0,0,0,0,0,0,3,18,19,13,0,12,38,20,38,25,0,0,7,5,0,0
1309,0,0,0,0,2,0,0,0,0,0,14,22,0,0,0,0,0,2,1,18,6,2,0,0
1310,46,0,0,0,0,0,0,0,4,31,157,70,35,108,495,435,92,123,30,32,41,4,22,34
1311,6,30,42,50,46,22,0,88,2,86,61,59,19,71,39,36,31,47,26,29,3,64,95,24
1312,0,0,0,0,0,0,0,0,5,22,5,11,1,1,8,4,2,4,3,2,12,3,5,0
1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0
1315,0,0,0,0,0,0,0,0,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1316,0,0,0,0,0,0,0,2,7,14,12,1,1,6,1,5,8,5,19,40,9,138,38,10
1317,1591,1720,1869,1915,1744,1938,1717,1290,1038,1092,1425,2339,2605,2883,2163,1816,2085,2383,2470,2040,2004,1716,1833,1981
1318,0,0,0,0,0,0,0,0,0,2,19,25,3,0,7,17,23,24,5,9,14,3,0,0
1319,0,0,0,0,0,0,1,12,10,17,8,7,4,1,2,16,6,9,8,0,1,10,1,0
1321,0,0,0,0,0,0,0,0,0,0,7,49,232,529,310,166,396,32,1,102,277,215,218,45
1322,0,0,0,0,0,0,0,0,0,6,18,19,3,0,8,10,13,232,0,1,1,0,0,0
1323,2914,2913,2915,2895,2900,2901,2915,2887,2911,2892,2946,2945,2929,2895,2940,2952,2956,2964,2875,2967,1885,1161,2976,2908
1324,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,6,1,0,0
1325,4,1,0,0,0,0,0,5,6,14,18,40,15,17,34,18,24,21,6,20,11,7,20,7
1326,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,6,6,0,1,0,0,0,4,1
1327,0,0,0,0,0,0,0,0,1,5,2,3,0,0,0,1,5,2,1,0,0,4,2,1
1328,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,24,14,4,2,0,3,6,2
1329,0,0,0,0,0,0,0,0,6,10,4,3,0,2,13,9,7,21,1,16,12,29,10,2
1331,0,0,0,0,0,0,0,0,0,0,24,0,22,6,0,40,0,40,0,26,0,0,6,0
1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0
1337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0
1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1339,4,0,0,0,0,0,0,0,0,0,0,2,0,9,2,10,50,12,2,8,0,2,0,2
1342,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
1343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,2,0
1344,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,1,2,0,0,2,25,2,0,0
1345,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1346,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
