userId,jStatus,num,userId,jstatus_32,jstatus_64
503,32,20354,503,20354,27255
503,64,27255,505,1587,1295
505,32,1587,510,753,5179
505,64,1295,513,71,59
510,32,753,530,97,108
510,64,5179,538,2199,4004
513,32,71,553,246,215
513,64,59,554,711,989
530,32,97,570,441,309
530,64,108,583,1034,323
538,32,2199,596,620,619
538,64,4004,601,400,428
553,32,246,603,1022,5608
553,64,215,605,130,5
554,32,711,607,258,437
554,64,989,609,1,4
570,32,441,611,303,197
570,64,309,612,1867,4691
583,32,1034,613,501,558
583,64,323,614,842,1417
596,32,620,615,366,582
596,64,619,616,137,444
601,32,400,617,26,11
601,64,428,618,1808,8104
603,32,1022,619,7403,14561
603,64,5608,620,261,363
605,32,130,621,60,96
605,64,5,622,64,31
607,32,258,623,956,5146
607,64,437,624,206,209
609,32,1,625,231,980
609,64,4,626,1088,2679
611,32,303,627,378,818
611,64,197,628,1832,389
612,32,1867,629,795,1606
612,64,4691,630,910,875
613,32,501,631,2,5
613,64,558,632,676,727
614,32,842,633,27,5
614,64,1417,634,232,20
615,32,366,635,677,3057
615,64,582,637,3109,8908
616,32,137,638,19,105
616,64,444,639,1097,3440
617,32,26,640,1924,4455
617,64,11,641,1441,3960
618,32,1808,643,178,560
618,64,8104,644,239,656
619,32,7403,645,247,514
619,64,14561,646,1016,2899
620,32,261,647,964,1236
620,64,363,648,469,2989
621,32,60,649,324,493
621,64,96,650,224,467
622,32,64,651,746,487
622,64,31,652,1573,2329
623,32,956,653,2482,5842
623,64,5146,655,507,151
624,32,206,656,47,221
624,64,209,657,14,8
625,32,231,658,162,86
625,64,980,659,116,761
626,32,1088,660,34,127
626,64,2679,661,32,37
627,32,378,662,261,279
627,64,818,664,16,17
628,32,1832,709,7,13
628,64,389,727,497,6789
629,32,795,741,2,1
629,64,1606,746,3,2
630,32,910,754,37,46
630,64,875,757,6,5
631,32,2,759,4,21
631,64,5,763,9,15
632,32,676,795,32,33
632,64,727,864,142,150
633,32,27,865,2,13
633,64,5,866,4,33
634,32,232,895,67,65
634,64,20,967,11,3
635,32,677,983,21,36
635,64,3057,993,39,163
637,32,3109,1001,30,195
637,64,8908,1063,9,6
638,32,19,1165,130,141
638,64,105,1166,143,140
639,32,1097,1167,3439,34029
639,64,3440,1168,495,919
640,32,1924,1169,5743,9089
640,64,4455,1170,427,735
641,32,1441,1171,388,589
641,64,3960,1173,1350,2614
643,32,178,1174,72,612
643,64,560,1175,523,709
644,32,239,1176,8,1
644,64,656,1177,383,33
645,32,247,1178,3986,18260
645,64,514,1179,8,1
646,32,1016,1181,4354,20412
646,64,2899,1182,427,956
647,32,964,1183,483,988
647,64,1236,1185,3,5
648,32,469,1186,4852,4618
648,64,2989,1187,1380,1859
649,32,324,1188,244,256
649,64,493,1189,12,68
650,32,224,1192,72,248
650,64,467,1193,806,783
651,32,746,1195,235,66
651,64,487,1196,175,1
652,32,1573,1198,302,35321
652,64,2329,1199,96,153
653,32,2482,1200,690,124
653,64,5842,1201,5,1
655,32,507,1202,184,108
655,64,151,1203,16518,76835
656,32,47,1207,122,453
656,64,221,1209,2127,1946
657,32,14,1210,248,90
657,64,8,1211,1,3
658,32,162,1212,528,608
658,64,86,1213,31,50
659,32,116,1214,74,77
659,64,761,1215,234,1052
660,32,34,1216,451,689
660,64,127,1217,172,267
661,32,32,1218,642,3652
661,64,37,1219,664,1885
662,32,261,1220,221,727
662,64,279,1223,202,16600
663,32,8,1224,1133,4590
664,32,16,1225,267,752
664,64,17,1227,27,36
667,64,17,1228,95131,14625
688,32,1,1229,35,83
702,64,1,1232,24,9
709,32,7,1235,310,677
709,64,13,1236,525,77
727,32,497,1237,881,27
727,64,6789,1238,3,3
741,32,2,1240,50,23
741,64,1,1241,107,257
746,32,3,1242,7,6
746,64,2,1246,15,13
747,32,1,1247,58,191
748,64,1,1248,1189,2488
754,32,37,1250,479,202
754,64,46,1252,117,41
757,32,6,1254,13,19
757,64,5,1255,14,14
759,32,4,1256,20,58
759,64,21,1257,20,25
760,32,1,1258,11,2
763,32,9,1259,74,35
763,64,15,1260,73,49
795,32,32,1261,4,2
795,64,33,1262,836,1110
864,32,142,1264,361,48
864,64,150,1265,677,658
865,32,2,1266,378,953
865,64,13,1267,205,726
866,32,4,1268,820,209
866,64,33,1269,704,239
867,64,5,1270,2085,750
868,64,5,1271,319,519
895,32,67,1274,192,62
895,64,65,1275,58,18
934,64,5,1276,2,7
962,32,1,1277,41,32878
967,32,11,1278,955,870
967,64,3,1279,31,68
969,64,1,1280,677,377
973,64,10,1281,121,59
983,32,21,1282,15,6
983,64,36,1283,118,8
993,32,39,1284,45,34
993,64,163,1285,136,23
1001,32,30,1288,466,1943
1001,64,195,1289,486,1527
1009,32,1,1290,579,1786
1010,32,3,1291,411,1080
1053,64,1,1292,483,2197
1063,32,9,1293,27,104
1063,64,6,1294,438,1246
1165,32,130,1295,333,240
1165,64,141,1296,109,27
1166,32,143,1297,1601,1267
1166,64,140,1299,33,83
1167,32,3439,1301,1270,2934
1167,64,34029,1305,104,94
1168,32,495,1309,65,2
1168,64,919,1310,1234,525
1169,32,5743,1311,602,374
1169,64,9089,1312,28,60
1170,32,427,1314,9,1
1170,64,735,1316,284,32
1171,32,388,1317,464,45193
1171,64,589,1318,66,85
1173,32,1350,1319,46,67
1173,64,2614,1321,568,2011
1174,32,72,1322,50,261
1174,64,612,1323,278,67064
1175,32,523,1324,12,5
1175,64,709,1325,285,3
1176,32,8,1327,24,3
1176,64,1,1328,33,26
1177,32,383,1329,128,17
1177,64,33,1331,59,105
1178,32,3986,1334,5,7
1178,64,18260,1337,4,8
1179,32,8,1339,66,37
1179,64,1,1343,9,1
1181,32,4354,1344,9,36
1181,64,20412,,,
1182,32,427,,,
1182,64,956,,,
1183,32,483,,,
1183,64,988,,,
1184,32,4,,,
1185,32,3,,,
1185,64,5,,,
1186,32,4852,,,
1186,64,4618,,,
1187,32,1380,,,
1187,64,1859,,,
1188,32,244,,,
1188,64,256,,,
1189,32,12,,,
1189,64,68,,,
1190,64,1,,,
1192,32,72,,,
1192,64,248,,,
1193,32,806,,,
1193,64,783,,,
1195,32,235,,,
1195,64,66,,,
1196,32,175,,,
1196,64,1,,,
1198,32,302,,,
1198,64,35321,,,
1199,32,96,,,
1199,64,153,,,
1200,32,690,,,
1200,64,124,,,
1201,32,5,,,
1201,64,1,,,
1202,32,184,,,
1202,64,108,,,
1203,32,16518,,,
1203,64,76835,,,
1204,32,4,,,
1205,32,2,,,
1207,32,122,,,
1207,64,453,,,
1209,32,2127,,,
1209,64,1946,,,
1210,32,248,,,
1210,64,90,,,
1211,32,1,,,
1211,64,3,,,
1212,32,528,,,
1212,64,608,,,
1213,32,31,,,
1213,64,50,,,
1214,32,74,,,
1214,64,77,,,
1215,32,234,,,
1215,64,1052,,,
1216,32,451,,,
1216,64,689,,,
1217,32,172,,,
1217,64,267,,,
1218,32,642,,,
1218,64,3652,,,
1219,32,664,,,
1219,64,1885,,,
1220,32,221,,,
1220,64,727,,,
1221,32,1,,,
1223,32,202,,,
1223,64,16600,,,
1224,32,1133,,,
1224,64,4590,,,
1225,32,267,,,
1225,64,752,,,
1227,32,27,,,
1227,64,36,,,
1228,32,95131,,,
1228,64,14625,,,
1229,32,35,,,
1229,64,83,,,
1232,32,24,,,
1232,64,9,,,
1233,32,223,,,
1235,32,310,,,
1235,64,677,,,
1236,32,525,,,
1236,64,77,,,
1237,32,881,,,
1237,64,27,,,
1238,32,3,,,
1238,64,3,,,
1239,64,2,,,
1240,32,50,,,
1240,64,23,,,
1241,32,107,,,
1241,64,257,,,
1242,32,7,,,
1242,64,6,,,
1246,32,15,,,
1246,64,13,,,
1247,32,58,,,
1247,64,191,,,
1248,32,1189,,,
1248,64,2488,,,
1250,32,479,,,
1250,64,202,,,
1252,32,117,,,
1252,64,41,,,
1254,32,13,,,
1254,64,19,,,
1255,32,14,,,
1255,64,14,,,
1256,32,20,,,
1256,64,58,,,
1257,32,20,,,
1257,64,25,,,
1258,32,11,,,
1258,64,2,,,
1259,32,74,,,
1259,64,35,,,
1260,32,73,,,
1260,64,49,,,
1261,32,4,,,
1261,64,2,,,
1262,32,836,,,
1262,64,1110,,,
1263,32,1,,,
1264,32,361,,,
1264,64,48,,,
1265,32,677,,,
1265,64,658,,,
1266,32,378,,,
1266,64,953,,,
1267,32,205,,,
1267,64,726,,,
1268,32,820,,,
1268,64,209,,,
1269,32,704,,,
1269,64,239,,,
1270,32,2085,,,
1270,64,750,,,
1271,32,319,,,
1271,64,519,,,
1273,32,13,,,
1274,32,192,,,
1274,64,62,,,
1275,32,58,,,
1275,64,18,,,
1276,32,2,,,
1276,64,7,,,
1277,32,41,,,
1277,64,32878,,,
1278,32,955,,,
1278,64,870,,,
1279,32,31,,,
1279,64,68,,,
1280,32,677,,,
1280,64,377,,,
1281,32,121,,,
1281,64,59,,,
1282,32,15,,,
1282,64,6,,,
1283,32,118,,,
1283,64,8,,,
1284,32,45,,,
1284,64,34,,,
1285,32,136,,,
1285,64,23,,,
1287,32,96,,,
1288,32,466,,,
1288,64,1943,,,
1289,32,486,,,
1289,64,1527,,,
1290,32,579,,,
1290,64,1786,,,
1291,32,411,,,
1291,64,1080,,,
1292,32,483,,,
1292,64,2197,,,
1293,32,27,,,
1293,64,104,,,
1294,32,438,,,
1294,64,1246,,,
1295,32,333,,,
1295,64,240,,,
1296,32,109,,,
1296,64,27,,,
1297,32,1601,,,
1297,64,1267,,,
1299,32,33,,,
1299,64,83,,,
1300,32,2,,,
1301,32,1270,,,
1301,64,2934,,,
1305,32,104,,,
1305,64,94,,,
1309,32,65,,,
1309,64,2,,,
1310,32,1234,,,
1310,64,525,,,
1311,32,602,,,
1311,64,374,,,
1312,32,28,,,
1312,64,60,,,
1314,32,9,,,
1314,64,1,,,
1315,32,15,,,
1316,32,284,,,
1316,64,32,,,
1317,32,464,,,
1317,64,45193,,,
1318,32,66,,,
1318,64,85,,,
1319,32,46,,,
1319,64,67,,,
1321,32,568,,,
1321,64,2011,,,
1322,32,50,,,
1322,64,261,,,
1323,32,278,,,
1323,64,67064,,,
1324,32,12,,,
1324,64,5,,,
1325,32,285,,,
1325,64,3,,,
1326,32,27,,,
1327,32,24,,,
1327,64,3,,,
1328,32,33,,,
1328,64,26,,,
1329,32,128,,,
1329,64,17,,,
1331,32,59,,,
1331,64,105,,,
1334,32,5,,,
1334,64,7,,,
1337,32,4,,,
1337,64,8,,,
1338,32,2,,,
1339,32,66,,,
1339,64,37,,,
1342,32,3,,,
1343,32,9,,,
1343,64,1,,,
1344,32,9,,,
1344,64,36,,,
1345,64,1,,,
1346,64,4,,,
